Level (m),Fill Volume (km³),Cut Volume (km³),Net Volume (km³)
16.931167602539062,0,0,0
18.07786045074463,0,2.692731349908258e-07,-2.692731349908258e-07
19.224553298950198,0,1.8029812681519627e-06,-1.8029812681519627e-06
20.371246147155766,0,4.626543741784823e-06,-4.626543741784823e-06
21.517938995361334,0,8.610834113879211e-06,-8.610834113879211e-06
22.6646318435669,0,1.3639545094250728e-05,-1.3639545094250728e-05
23.81132469177247,0,2.0030490451573325e-05,-2.0030490451573325e-05
24.958017539978037,0,2.750332227266878e-05,-2.750332227266878e-05
26.104710388183605,0,3.5532413815705306e-05,-3.5532413815705306e-05
27.251403236389173,0,4.397926621734273e-05,-4.397926621734273e-05
28.39809608459474,0,5.290616941959246e-05,-5.290616941959246e-05
